margined_safety_distance (x), current_s (y), target_v (z), CS.vEgo (w)
13.0, 51.11561867276824, 0.0, -3.118399547474837e-07
13.0, 51.11561867276824, 0.0, -1.6762237464718055e-07
13.0, 51.11561867276824, 0.0, 1.1267413668747395e-08
13.0, 51.11561867276824, 0.0, 5.744590225731372e-08
13.0, 51.11561867276824, 0.0, -1.8739126517175464e-07
13.0, 51.11561867276824, 0.0, -2.3300092522049454e-08
13.0, 51.11561867276824, 0.0, 4.281247356630047e-09
13.0, 51.11561867276824, 0.0, -1.7953327358100069e-07
13.0, 51.11561867276824, 0.0, 2.654077206898364e-07
13.0, 51.11561867276824, 0.0, 1.602389829713502e-07
13.0, 51.11561867276824, 0.0, 1.3647074581513152e-07
13.0, 51.11561867276824, 0.0, 1.3647074581513152e-07
13.0, 51.11561867276824, 0.0, 8.034852783112001e-09
13.0, 51.11561867276824, 0.0, -2.2472454475064296e-07
13.0, 51.11561867276824, 0.0, -2.718641667343036e-07
13.0, 51.11561867276824, 0.0, 1.9110495941276895e-07
13.0, 51.11561867276824, 0.0, -4.4231825313545414e-08
13.0, 51.11561867276824, 0.0, 2.3945867155816813e-07
13.0, 51.11561867276824, 0.0, -3.279392046806606e-08
13.0, 51.11561867276824, 0.0, 1.0338746392335452e-07
13.0, 51.11561867276824, 0.0, -2.391662405898387e-07
13.0, 51.11561867276824, 0.0, 2.3720406261418248e-07
13.0, 51.11561867276824, 0.0, -1.3394721065651538e-07
13.0, 51.11561867276824, 0.0, -7.105239063776025e-08
13.0, 51.11561867276824, 0.0, 1.39688694389406e-07
13.0, 51.11561867276824, 0.0, 7.97194488200148e-09
13.0, 51.11561867276824, 0.0, -1.7925812301200494e-07
13.0, 51.11561867276824, 0.0, 9.191023053745084e-08
13.0, 51.11561867276824, 0.0, -2.839122998921084e-07
13.0, 51.11561867276824, 0.0, 6.87954013756098e-08
13.0, 51.11561867276824, 0.0, -1.397596349761443e-08
13.0, 51.11561867276824, 0.0, 1.1465343163763464e-07
13.0, 51.11561867276824, 0.0, 1.287143902573007e-08
13.0, 51.11561867276824, 0.0, 4.712738643775083e-09
13.0, 51.11561867276824, 0.0, -2.2468377380846505e-08
13.0, 51.11561867276824, 0.0, 9.55024859194964e-09
13.0, 51.11561867276824, 0.0, -1.049914715167688e-07
13.0, 51.11561867276824, 0.0, 9.620887908567965e-08
13.0, 51.11561867276824, 0.0, -2.8500565463218663e-07
13.0, 51.11561867276824, 0.0, 1.2059038567713287e-07
13.0, 51.11561867276824, 0.0, 1.9795569627945042e-08
13.0, 51.11561867276824, 0.0, -2.0489082430685812e-08
13.0, 51.11561867276824, 0.0, -2.7681643643973075e-08
13.0, 51.11550722634096, 0.0, 2.5953600157890833e-08
13.0, 51.11561867276824, 0.0, 1.4454762720106373e-08
13.0, 51.11561867276824, 0.0, 8.061131495651352e-08
13.0, 51.11561867276824, 0.0, 5.0598103484844614e-08
13.0, 51.115730119244056, 0.0, 3.649336832722838e-08
13.0, 51.11550722634096, 0.0, 1.7372983052155178e-09
13.0, 51.11561867276824, 0.0, -8.262804129799406e-08
13.0, 51.11561867276824, 0.0, -2.6763245841721073e-08
13.0, 51.11561867276824, 0.0, -1.7239568705917918e-07
