timestamp,data,timestamps
1700200141.2518866,"[359.8146267948665, 975.157001673876, 157.5482763862193]"
1700200141.3020208,"[359.5497267573269, 975.2663798197993, 157.25195554570325]"
1700200141.351972,"[359.3734702855503, 975.340104979543, 157.05027093905602]"
1700200141.407293,"[359.3734702855503, 975.340104979543, 157.05027093905602]"
1700200141.4517698,"[358.9345299010113, 975.5283823565923, 156.54606021804852]"
1700200141.5018435,"[358.6722401203847, 975.6437766811448, 156.24860392647537]"
1700200141.551855,"[358.49770872313286, 975.7214705534514, 156.04915952590432]"
1700200141.6018646,"[358.2361694648249, 975.8389912074158, 155.74595591901124]"
1700200141.651726,"[358.06201902647723, 975.918025810003, 155.54276540792796]"
1700200141.701782,"[357.80122403288715, 976.0375564420151, 155.23342625722745]"
1700200141.7627375,"[357.6275612607017, 976.117865898947, 155.02656387106947]"
1700200141.807444,"[357.3674320507202, 976.239331279822, 154.7159763789121]"
1700200141.8518121,"[357.19438572421905, 976.3211308929524, 154.50688615172885]"
1700200141.9018261,"[356.9354289641819, 976.4453491624856, 154.20049490735863]"
1700200141.951691,"[356.76316222800045, 976.5291597950475, 154.00546658359207]"
1700200142.0021894,"[356.50527751813024, 976.6562026033414, 153.72778694634314]"
1700200142.0519407,"[356.333656158848, 976.741730811163, 153.5472497115743]"
1700200142.1020594,"[356.0766025274745, 976.8709765917486, 153.27121771529238]"
1700200142.1518223,"[355.90548560334736, 976.9576734722036, 153.0846016404479]"
1700200142.2019458,"[355.64917967418705, 977.0884969779993, 152.7988325850531]"
1700200142.2519023,"[355.47858719712457, 977.1763228997834, 152.60594806247968]"
1700200142.3016253,"[355.2230869465046, 977.3090733494137, 152.318507623575]"
1700200142.3518538,"[355.05303185897026, 977.398258937739, 152.12997328631496]"
1700200142.4017081,"[354.9681027151262, 977.4430749025737, 152.0357086150247]"
1700200142.4573026,"[354.62924893247106, 977.6244851882424, 151.66572508478998]"
1700200142.5276284,"[354.3761244184967, 977.7627541285999, 151.38632779933653]"
1700200142.5516386,"[354.2077463848718, 977.8557641949797, 151.20062009603197]"
1700200142.6070309,"[353.95562420852144, 977.9961789517266, 150.9180492943131]"
1700200142.6518633,"[353.78778260245997, 978.0903561735753, 150.72610361408033]"
1700200142.7018852,"[353.53636604406364, 978.2325376331041, 150.44153280087318]"
1700200142.751698,"[353.36900370346643, 978.3278723371023, 150.24999875729213]"
1700200142.801755,"[353.1183672937646, 978.4718943933735, 149.95950742981233]"
1700200142.8517628,"[352.9517065104222, 978.5687904635995, 149.76813449006806]"
1700200142.902092,"[352.7023076727056, 978.7153221809252, 149.4856413922629]"
